,id,operation,thread,service,hrt,arrival,agent,parent_id,parent1,parent2
0,922E7F81D36732F5,set,1571411085,Reference,1559666962740434244,2019-06-04 11:49:22.740434,thread_local_baggage.cpp,,,
3,1EB1A0B41B08E21D,,1571411085,Reference,1559666962740662345,2019-06-04 11:49:22.740662,StartTrace,['922E7F81D36732F5'],922E7F81D36732F5,
1,5C02B6A21D5E6A96,,1571411085,Reference,1559666962741079480,2019-06-04 11:49:22.741080,luaxtrace.cpp,['1EB1A0B41B08E21D'],1EB1A0B41B08E21D,
2,767B5865A18ED430,fork,1571411085,Reference,1559666962741499064,2019-06-04 11:49:22.741499,lua_baggage.cpp,['5C02B6A21D5E6A96'],5C02B6A21D5E6A96,
4,7C7898F2198A278B,,1571411085,Reference,1559666962741786097,2019-06-04 11:49:22.741786,luaxtrace.cpp,['767B5865A18ED430'],767B5865A18ED430,
5,4903F401B0E5399D,set,1911989946,SocialGraphService,1559666962742361315,2019-06-04 11:49:22.742361,SocialGraphHandler.h,['767B5865A18ED430'],767B5865A18ED430,
6,51623FA18B2E9AEF,,1911989946,SocialGraphService,1559666962742638597,2019-06-04 11:49:22.742639,SocialGraphHandler.h,['4903F401B0E5399D'],4903F401B0E5399D,
7,03CFF36C6A8D9919,fork,1911989946,SocialGraphService,1559666962742901877,2019-06-04 11:49:22.742902,SocialGraphHandler.h,['51623FA18B2E9AEF'],51623FA18B2E9AEF,
8,584D650EFAD5A82B,fork,1911989946,SocialGraphService,1559666962743405460,2019-06-04 11:49:22.743405,SocialGraphHandler.h,['03CFF36C6A8D9919'],03CFF36C6A8D9919,
11,7B7034A53C0F938F,set,-1014836911,SocialGraphService,1559666962743452750,2019-06-04 11:49:22.743453,SocialGraphHandler.h,['03CFF36C6A8D9919'],03CFF36C6A8D9919,
9,C22174289F6FA66E,set,244789097,SocialGraphService,1559666962743832573,2019-06-04 11:49:22.743833,SocialGraphHandler.h,['584D650EFAD5A82B'],584D650EFAD5A82B,
10,98C322B45037CBCB,,244789097,SocialGraphService,1559666962744095909,2019-06-04 11:49:22.744096,ClientPool.h,['C22174289F6FA66E'],C22174289F6FA66E,
12,BD691C272F8886A6,,244789097,SocialGraphService,1559666962744300220,2019-06-04 11:49:22.744300,ClientPool.h,['98C322B45037CBCB'],98C322B45037CBCB,
14,15C6B152A96FE952,,244789097,SocialGraphService,1559666962744461814,2019-06-04 11:49:22.744462,ClientPool.h,['BD691C272F8886A6'],BD691C272F8886A6,
13,417690526B601407,,-1014836911,SocialGraphService,1559666962744462843,2019-06-04 11:49:22.744463,ClientPool.h,['7B7034A53C0F938F'],7B7034A53C0F938F,
17,83D93CB64A5C6F3A,,-1014836911,SocialGraphService,1559666962744725577,2019-06-04 11:49:22.744725,ClientPool.h,['417690526B601407'],417690526B601407,
15,AB5837B0A0294B68,,244789097,SocialGraphService,1559666962744780129,2019-06-04 11:49:22.744780,ClientPool.h,['15C6B152A96FE952'],15C6B152A96FE952,
16,5852A3156FE7B2E8,,244789097,SocialGraphService,1559666962744977218,2019-06-04 11:49:22.744977,ClientPool.h,['AB5837B0A0294B68'],AB5837B0A0294B68,
20,335A2C39B82B5B7E,,244789097,SocialGraphService,1559666962745156612,2019-06-04 11:49:22.745157,ClientPool.h,['5852A3156FE7B2E8'],5852A3156FE7B2E8,
18,08DA6EA8A7A1B23B,,-1014836911,SocialGraphService,1559666962745204107,2019-06-04 11:49:22.745204,ClientPool.h,['83D93CB64A5C6F3A'],83D93CB64A5C6F3A,
19,28C7D915B5D53C1B,,-1014836911,SocialGraphService,1559666962745461900,2019-06-04 11:49:22.745462,ClientPool.h,['08DA6EA8A7A1B23B'],08DA6EA8A7A1B23B,
21,85926AA54976F6CE,,-1014836911,SocialGraphService,1559666962745671852,2019-06-04 11:49:22.745672,ClientPool.h,['28C7D915B5D53C1B'],28C7D915B5D53C1B,
23,60F51872504FDE23,fork,244789097,SocialGraphService,1559666962745731531,2019-06-04 11:49:22.745732,SocialGraphHandler.h,['335A2C39B82B5B7E'],335A2C39B82B5B7E,
22,69D36CDC4AE9098E,,-1014836911,SocialGraphService,1559666962745835030,2019-06-04 11:49:22.745835,ClientPool.h,['85926AA54976F6CE'],85926AA54976F6CE,
28,2990275A4F1781FD,fork,-1014836911,SocialGraphService,1559666962746003447,2019-06-04 11:49:22.746003,SocialGraphHandler.h,['69D36CDC4AE9098E'],69D36CDC4AE9098E,
24,0894B68F2C2CF11F,set,1429877558,UserService,1559666962746304515,2019-06-04 11:49:22.746305,UserHandler.h,['60F51872504FDE23'],60F51872504FDE23,
25,9FBD48E9DA60B029,set,241257989,UserService,1559666962746465289,2019-06-04 11:49:22.746465,UserHandler.h,['2990275A4F1781FD'],2990275A4F1781FD,
47,33024B55B71A828F,,1429877558,UserService,1559666962746568861,2019-06-04 11:49:22.746569,UserHandler.h,['0894B68F2C2CF11F'],0894B68F2C2CF11F,
26,F4082480D15A757F,,241257989,UserService,1559666962746706912,2019-06-04 11:49:22.746707,UserHandler.h,['9FBD48E9DA60B029'],9FBD48E9DA60B029,
49,4893F0CE0BE0E391,,1429877558,UserService,1559666962746797071,2019-06-04 11:49:22.746797,UserHandler.h,['33024B55B71A828F'],33024B55B71A828F,
48,A754745C516E3584,,241257989,UserService,1559666962746962918,2019-06-04 11:49:22.746963,UserHandler.h,['F4082480D15A757F'],F4082480D15A757F,
27,7E7948F144C28FA0,,241257989,UserService,1559666962747714214,2019-06-04 11:49:22.747714,UserHandler.h,['A754745C516E3584'],A754745C516E3584,
30,C58D4A2C1D45A937,,241257989,UserService,1559666962747976946,2019-06-04 11:49:22.747977,UserHandler.h,['7E7948F144C28FA0'],7E7948F144C28FA0,
31,AD477C00E86F52D1,unset,241257989,UserService,1559666962748230711,2019-06-04 11:49:22.748231,UserHandler.h,['C58D4A2C1D45A937'],C58D4A2C1D45A937,
32,84BE6CFA754FFCED,,1429877558,UserService,1559666962748314577,2019-06-04 11:49:22.748315,UserHandler.h,['4893F0CE0BE0E391'],4893F0CE0BE0E391,
33,8B04A5789B3FD08A,,1429877558,UserService,1559666962748564194,2019-06-04 11:49:22.748564,UserHandler.h,['84BE6CFA754FFCED'],84BE6CFA754FFCED,
29,BF11626482A87FFB,fork,-1014836911,SocialGraphService,1559666962748631480,2019-06-04 11:49:22.748631,SocialGraphHandler.h,"['2990275A4F1781FD', 'C58D4A2C1D45A937']",2990275A4F1781FD,C58D4A2C1D45A937
34,14CFFC89DA42F8C1,unset,1429877558,UserService,1559666962748806312,2019-06-04 11:49:22.748806,UserHandler.h,['8B04A5789B3FD08A'],8B04A5789B3FD08A,
35,A24119E22718DA65,,-1014836911,SocialGraphService,1559666962748884917,2019-06-04 11:49:22.748885,ClientPool.h,['BF11626482A87FFB'],BF11626482A87FFB,
36,EFC65C9B96DA8BCF,,-1014836911,SocialGraphService,1559666962749115133,2019-06-04 11:49:22.749115,ClientPool.h,['A24119E22718DA65'],A24119E22718DA65,
38,B6F65226F023B3DF,fork,244789097,SocialGraphService,1559666962749253641,2019-06-04 11:49:22.749254,SocialGraphHandler.h,"['60F51872504FDE23', '8B04A5789B3FD08A']",60F51872504FDE23,8B04A5789B3FD08A
37,80E8FE8F234967F9,,-1014836911,SocialGraphService,1559666962749297794,2019-06-04 11:49:22.749298,ClientPool.h,['EFC65C9B96DA8BCF'],EFC65C9B96DA8BCF,
39,6535FBA27CB1844A,,-1014836911,SocialGraphService,1559666962749483686,2019-06-04 11:49:22.749484,ClientPool.h,['80E8FE8F234967F9'],80E8FE8F234967F9,
40,EDF81E1915AC3D49,,244789097,SocialGraphService,1559666962749509755,2019-06-04 11:49:22.749510,ClientPool.h,['B6F65226F023B3DF'],B6F65226F023B3DF,
42,99A58CB01AD13B9A,,-1014836911,SocialGraphService,1559666962749696614,2019-06-04 11:49:22.749697,ClientPool.h,['6535FBA27CB1844A'],6535FBA27CB1844A,
41,9E5F3DAECCFAF990,,244789097,SocialGraphService,1559666962749709129,2019-06-04 11:49:22.749709,ClientPool.h,['EDF81E1915AC3D49'],EDF81E1915AC3D49,
43,DA304EB5B04B98D6,,244789097,SocialGraphService,1559666962749914974,2019-06-04 11:49:22.749915,ClientPool.h,['9E5F3DAECCFAF990'],9E5F3DAECCFAF990,
44,955451FB9BFF759C,unset,-1014836911,SocialGraphService,1559666962749925914,2019-06-04 11:49:22.749926,SocialGraphHandler.h,['99A58CB01AD13B9A'],99A58CB01AD13B9A,
45,A682AEB5917F0B91,,244789097,SocialGraphService,1559666962750092740,2019-06-04 11:49:22.750093,ClientPool.h,['DA304EB5B04B98D6'],DA304EB5B04B98D6,
46,3F2056453D04E9C1,fork,1911989946,SocialGraphService,1559666962750497961,2019-06-04 11:49:22.750498,SocialGraphHandler.h,"['584D650EFAD5A82B', '955451FB9BFF759C']",584D650EFAD5A82B,955451FB9BFF759C
50,15981C80DCE3159F,,244789097,SocialGraphService,1559666962750769992,2019-06-04 11:49:22.750770,ClientPool.h,['A682AEB5917F0B91'],A682AEB5917F0B91,
52,963B0C2016471A1E,unset,244789097,SocialGraphService,1559666962751042918,2019-06-04 11:49:22.751043,SocialGraphHandler.h,['15981C80DCE3159F'],15981C80DCE3159F,
51,55A8367AFB60CFB4,fork,1911989946,SocialGraphService,1559666962751372530,2019-06-04 11:49:22.751373,SocialGraphHandler.h,"['3F2056453D04E9C1', '963B0C2016471A1E']",3F2056453D04E9C1,963B0C2016471A1E
53,43FA34A9B799C045,fork,1911989946,SocialGraphService,1559666962751774267,2019-06-04 11:49:22.751774,SocialGraphHandler.h,['55A8367AFB60CFB4'],55A8367AFB60CFB4,
54,C59625C9946CB201,,1911989946,SocialGraphService,1559666962752099312,2019-06-04 11:49:22.752099,SocialGraphHandler.h,['43FA34A9B799C045'],43FA34A9B799C045,
55,CEA9D853445EAD85,fork,1911989946,SocialGraphService,1559666962752346547,2019-06-04 11:49:22.752347,SocialGraphHandler.h,['C59625C9946CB201'],C59625C9946CB201,
56,10EB1370A648BCEC,fork,1911989946,SocialGraphService,1559666962752693967,2019-06-04 11:49:22.752694,SocialGraphHandler.h,['CEA9D853445EAD85'],CEA9D853445EAD85,
57,67C2D26765E0097A,set,244789097,SocialGraphService,1559666962752765350,2019-06-04 11:49:22.752765,SocialGraphHandler.h,['CEA9D853445EAD85'],CEA9D853445EAD85,
58,8EB8DAD8BB095B11,fork,1911989946,SocialGraphService,1559666962752980208,2019-06-04 11:49:22.752980,SocialGraphHandler.h,['10EB1370A648BCEC'],10EB1370A648BCEC,
60,191891CA2A206E6A,set,-1014836911,SocialGraphService,1559666962753075041,2019-06-04 11:49:22.753075,SocialGraphHandler.h,['10EB1370A648BCEC'],10EB1370A648BCEC,
59,926FE3BEDD72A4B8,,244789097,SocialGraphService,1559666962753150416,2019-06-04 11:49:22.753150,SocialGraphHandler.h,['67C2D26765E0097A'],67C2D26765E0097A,
61,127E62FE479AB4DC,,-1014836911,SocialGraphService,1559666962753346114,2019-06-04 11:49:22.753346,SocialGraphHandler.h,['191891CA2A206E6A'],191891CA2A206E6A,
67,D92296C5DC0629E0,,244789097,SocialGraphService,1559666962753369601,2019-06-04 11:49:22.753370,SocialGraphHandler.h,['926FE3BEDD72A4B8'],926FE3BEDD72A4B8,
63,7569F66A7F5A1827,set,-561385838,SocialGraphService,1559666962753668813,2019-06-04 11:49:22.753669,SocialGraphHandler.h,['8EB8DAD8BB095B11'],8EB8DAD8BB095B11,
62,C6765ED7EA65F8BF,,-561385838,SocialGraphService,1559666962753876894,2019-06-04 11:49:22.753877,ClientPool.h,['7569F66A7F5A1827'],7569F66A7F5A1827,
64,82598626304CAACC,,-561385838,SocialGraphService,1559666962754071527,2019-06-04 11:49:22.754071,ClientPool.h,['C6765ED7EA65F8BF'],C6765ED7EA65F8BF,
65,C56899728A27E49B,,-561385838,SocialGraphService,1559666962754250853,2019-06-04 11:49:22.754251,ClientPool.h,['82598626304CAACC'],82598626304CAACC,
66,B47289AB30632CD4,,-561385838,SocialGraphService,1559666962754411293,2019-06-04 11:49:22.754411,ClientPool.h,['C56899728A27E49B'],C56899728A27E49B,
68,A205F481C7A111B0,,-561385838,SocialGraphService,1559666962754891266,2019-06-04 11:49:22.754891,ClientPool.h,['B47289AB30632CD4'],B47289AB30632CD4,
69,DB164AE2CC82E166,,-1014836911,SocialGraphService,1559666962754909543,2019-06-04 11:49:22.754910,SocialGraphHandler.h,['127E62FE479AB4DC'],127E62FE479AB4DC,
70,304EBB474D369C4F,,-561385838,SocialGraphService,1559666962755076025,2019-06-04 11:49:22.755076,ClientPool.h,['A205F481C7A111B0'],A205F481C7A111B0,
71,FB0728D580CB6AF9,unset,-1014836911,SocialGraphService,1559666962755128574,2019-06-04 11:49:22.755129,SocialGraphHandler.h,['DB164AE2CC82E166'],DB164AE2CC82E166,
72,71E61F092E54EC0E,,-561385838,SocialGraphService,1559666962755237159,2019-06-04 11:49:22.755237,SocialGraphHandler.h,['304EBB474D369C4F'],304EBB474D369C4F,
73,91CBB6DB50EB0559,,244789097,SocialGraphService,1559666962755625687,2019-06-04 11:49:22.755626,SocialGraphHandler.h,['D92296C5DC0629E0'],D92296C5DC0629E0,
74,0501FF4607ABE241,unset,244789097,SocialGraphService,1559666962756162770,2019-06-04 11:49:22.756163,SocialGraphHandler.h,['91CBB6DB50EB0559'],91CBB6DB50EB0559,
75,10EACA54C0F1A606,,-561385838,SocialGraphService,1559666962756596491,2019-06-04 11:49:22.756597,ClientPool.h,['71E61F092E54EC0E'],71E61F092E54EC0E,
76,BEFC85470B65DA6E,,-561385838,SocialGraphService,1559666962756886806,2019-06-04 11:49:22.756887,ClientPool.h,['10EACA54C0F1A606'],10EACA54C0F1A606,
77,A7D3396CC75EC6D6,,-561385838,SocialGraphService,1559666962757103648,2019-06-04 11:49:22.757104,ClientPool.h,['BEFC85470B65DA6E'],BEFC85470B65DA6E,
78,7076C55CDECBF840,,-561385838,SocialGraphService,1559666962757303273,2019-06-04 11:49:22.757303,ClientPool.h,['A7D3396CC75EC6D6'],A7D3396CC75EC6D6,
79,64043C09224ACB33,,-561385838,SocialGraphService,1559666962757487248,2019-06-04 11:49:22.757487,ClientPool.h,['7076C55CDECBF840'],7076C55CDECBF840,
80,F7026C2BC9670E93,,-561385838,SocialGraphService,1559666962757686896,2019-06-04 11:49:22.757687,SocialGraphHandler.h,['64043C09224ACB33'],64043C09224ACB33,
81,885F783A04AB9B13,unset,-561385838,SocialGraphService,1559666962757877229,2019-06-04 11:49:22.757877,SocialGraphHandler.h,['F7026C2BC9670E93'],F7026C2BC9670E93,
82,D9F3F58FAF7CA89C,fork,1911989946,SocialGraphService,1559666962758260460,2019-06-04 11:49:22.758260,SocialGraphHandler.h,"['885F783A04AB9B13', '8EB8DAD8BB095B11']",885F783A04AB9B13,8EB8DAD8BB095B11
83,6896F6C747DA661F,fork,1911989946,SocialGraphService,1559666962758538917,2019-06-04 11:49:22.758539,SocialGraphHandler.h,"['0501FF4607ABE241', 'D9F3F58FAF7CA89C']",0501FF4607ABE241,D9F3F58FAF7CA89C
84,6CA12A1D5A136315,fork,1911989946,SocialGraphService,1559666962758808715,2019-06-04 11:49:22.758809,SocialGraphHandler.h,"['6896F6C747DA661F', 'FB0728D580CB6AF9']",6896F6C747DA661F,FB0728D580CB6AF9
85,41DCBD50B8AE2F6A,,1911989946,SocialGraphService,1559666962759064441,2019-06-04 11:49:22.759064,SocialGraphHandler.h,['6CA12A1D5A136315'],6CA12A1D5A136315,
86,1F95773644323185,unset,1911989946,SocialGraphService,1559666962759319208,2019-06-04 11:49:22.759319,SocialGraphHandler.h,['41DCBD50B8AE2F6A'],41DCBD50B8AE2F6A,
87,54CA0531657C21DE,fork,1911989946,SocialGraphService,1559666962759581971,2019-06-04 11:49:22.759582,SocialGraphHandler.h,['41DCBD50B8AE2F6A'],41DCBD50B8AE2F6A,
88,990D6D9434636CE8,,1911989946,SocialGraphService,1559666962759822054,2019-06-04 11:49:22.759822,SocialGraphHandler.h,['54CA0531657C21DE'],54CA0531657C21DE,
89,631FA9D88DAB8E1F,unset,1911989946,SocialGraphService,1559666962760067060,2019-06-04 11:49:22.760067,SocialGraphHandler.h,['990D6D9434636CE8'],990D6D9434636CE8,
90,A3D11475058B4118,fork,1571411085,Reference,1559666962760683633,2019-06-04 11:49:22.760684,lua_baggage.cpp,"['7C7898F2198A278B', '990D6D9434636CE8']",7C7898F2198A278B,990D6D9434636CE8
